Nome,Endereço;"Tipo de almoço (self service, prato feito, a la carte)"
Baixinho Bar e Restaurante;"Rua papa João XXIII, 101, Liberdade";A la carte
Bar do Cuscuz e Restaurante;"Rua Dr Severino Cruz, 771, Centro";A la carte
Bar do George;"Rua Almirante Barroso, Liberdade";A la carte
Bar do Santos;"Rua Silva Barbosa, em frente a Fofex (proximo a UFCG) ";Prato feito
Bodão Bar e Restaurante;" Rua Otávio Amorim, 15, Cruzeiro";A la carte
Bonaparte,Shopping Boulevard,A la carte
Bongustaio,Shopping Boulevard,Prato feito
Cabana do Possidônio,Shopping Boulevard,Self-service
Cantina da Sayonara;"Campus da UFCG, praça do bloco BD";Prato feito
Cantina de Dona Inês;"Campus da UFCG, bloco CN";Prato feito
Cantina de Olavo;"Campus da UFCG, ao lado da xerox de Genilda";A la carte
Cantina do Departamento de Meteorologia;"Campus da UFCG, bloco CL";Prato feito
Cantina do Hall das Placas;"Campus da UFCG, Hall das placas";Prato feito
Cantinho Universitário;"Av. Aprígio Veloso, em frente à UFCG";Prato feito
Chinatown,Shopping Boulevard,Self-service
Divino Fogão,Shopping Boulevard,Self-service
Fazenda;"Campus da UFCG, bloco BH";Prato feito
Giraffas,Shopping Boulevard,A la carte
Girassol,R Irineu Joffily 263 - Centro,Self-service
Gulas;"Rua João Suassuna, 74, Varadouro";Self-service
Manoel da Carne de Sol;"Rua Félix Araújo, 263";A la carte
Marmitaria ArtCulinária;"Vigário Calixto, Catolé";Prato feito
Marmitaria Bom Paladar;"Av. Joaquim Carioca, Conj. dos professores";Prato feito
Marmitaria da Mama;"Rua Arrojado Lisboa, Prata";Prato feito
Paladar;"R. Félix Araújo, 113, Centro";Self-service
Pedro da Picanha;"Avenida Manoel Tavares, 885, Alto Branco";A la carte
Qdoca Bar e Restaurante;"Av. Almirante Barroso, 1355, Cruzeiro";Self-service
Restaurante Brasília;"Rua Odon Bezerra, 230, Liberdade";Self-service
Restaurante da Quadra;"Campus da UFCG, próximo á quadra";Self-service
Restaurante do Alexandre;"Av Mal Floriano Peixoto, 1507";A la carte
Restaurante do Paraná,Cruzeiro,A la carte
Restaurante Golden In China;"Av. 13 de Maio, 225, Centro";Self-service
Restaurante Lay China;"Av. 13 de Maio, 320, Centro";Self-service
Riso;"Campus da UFCG, bloco BO";Prato feito
Spolleto,Shopping Boulevard,A la carte
Super China Restaurante,Shopping Luiza Mota,Self-service
Trailer do Marcus;"Campus da UFCG, próximo ao bloco BB";A la carte
Tuxá,R João Quirino 890 - Catolé,Self-service
Varandas bar e restaurante;"R. Antônio Trovão de Melo, 2, Conjunto dos Professores";Prato feito
